날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2012-04-01,18720288.75,31677.5,15458.5,3745060.5,51278.25,90762.0,1056191.5,2807940.25,1013534.5,1928479.0,497350.0,720389.75,414572.5,827295.5,918947.0,639666.5,1481379.75,1288242.75,347624.75,844438.25
2012-05-01,18770633.0,31958.0,15453.666666666666,3754018.0,51535.666666666664,91244.33333333333,1055015.0,2816584.6666666665,1013799.0,1934945.0,498731.6666666667,718929.3333333334,415298.0,831511.6666666666,926129.0,640265.0,1483286.3333333333,1297083.0,348903.0,845942.6666666666
2012-06-01,18820977.25,32238.5,15448.833333333334,3762975.5,51793.083333333336,91726.66666666667,1053838.5,2825229.0833333335,1014063.5,1941411.0,500113.3333333333,717468.9166666666,416023.5,835727.8333333334,933311.0,640863.5,1485192.9166666667,1305923.25,350181.25,847447.0833333334
2012-07-01,18871321.5,32519.0,15444.0,3771933.0,52050.5,92209.0,1052662.0,2833873.5,1014328.0,1947877.0,501495.0,716008.5,416749.0,839944.0,940493.0,641462.0,1487099.5,1314763.5,351459.5,848951.5
2012-08-01,18921665.75,32799.5,15439.166666666666,3780890.5,52307.916666666664,92691.33333333333,1051485.5,2842517.9166666665,1014592.5,1954343.0,502876.6666666667,714548.0833333334,417474.5,844160.1666666666,947675.0,642060.5,1489006.0833333333,1323603.75,352737.75,850455.9166666666
2012-09-01,18972010.0,33080.0,15434.333333333334,3789848.0,52565.333333333336,93173.66666666667,1050309.0,2851162.3333333335,1014857.0,1960809.0,504258.3333333333,713087.6666666666,418200.0,848376.3333333334,954857.0,642659.0,1490912.6666666667,1332444.0,354016.0,851960.3333333334
2012-10-01,19022354.25,33360.5,15429.5,3798805.5,52822.75,93656.0,1049132.5,2859806.75,1015121.5,1967275.0,505640.0,711627.25,418925.5,852592.5,962039.0,643257.5,1492819.25,1341284.25,355294.25,853464.75
2012-11-01,19072698.5,33641.0,15424.666666666666,3807763.0,53080.166666666664,94138.33333333333,1047956.0,2868451.1666666665,1015386.0,1973741.0,507021.6666666667,710166.8333333334,419651.0,856808.6666666666,969221.0,643856.0,1494725.8333333333,1350124.5,356572.5,854969.1666666666
2012-12-01,19123042.75,33921.5,15419.833333333334,3816720.5,53337.583333333336,94620.66666666667,1046779.5,2877095.5833333335,1015650.5,1980207.0,508403.3333333333,708706.4166666666,420376.5,861024.8333333334,976403.0,644454.5,1496632.4166666667,1358964.75,357850.75,856473.5833333334
2013-01-01,19173387.0,34202.0,15415.0,3825678.0,53595.0,95103.0,1045603.0,2885740.0,1015915.0,1986673.0,509785.0,707246.0,421102.0,865241.0,983585.0,645053.0,1498539.0,1367805.0,359129.0,857978.0
