,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2020-08-01,19601.833333333332,13556.166666666666,15889.166666666666,17801.5,23129.25,36835.0
2020-09-01,19642.666666666668,13572.333333333334,15913.333333333334,17843.0,23162.0,36916.0
2020-10-01,19683.5,13588.5,15937.5,17884.5,23194.75,36997.0
2020-11-01,19724.333333333332,13604.666666666666,15961.666666666666,17926.0,23227.5,37078.0
2020-12-01,19765.166666666668,13620.833333333334,15985.833333333334,17967.5,23260.25,37159.0
2021-01-01,19806.0,13637.0,16010.0,18009.0,23293.0,37240.0
2021-02-01,20043.083333333332,13790.0,16165.0,18209.666666666668,23586.583333333332,37636.083333333336
2021-03-01,20280.166666666668,13943.0,16320.0,18410.333333333332,23880.166666666668,38032.166666666664
2021-04-01,20517.25,14096.0,16475.0,18611.0,24173.75,38428.25
2021-05-01,20754.333333333332,14249.0,16630.0,18811.666666666668,24467.333333333332,38824.333333333336
2021-06-01,20991.416666666668,14402.0,16785.0,19012.333333333332,24760.916666666668,39220.416666666664
2021-07-01,21228.5,14555.0,16940.0,19213.0,25054.5,39616.5
2021-08-01,21465.583333333332,14708.0,17095.0,19413.666666666668,25348.083333333332,40012.583333333336
2021-09-01,21702.666666666668,14861.0,17250.0,19614.333333333332,25641.666666666668,40408.666666666664
2021-10-01,21939.75,15014.0,17405.0,19815.0,25935.25,40804.75
2021-11-01,22176.833333333332,15167.0,17560.0,20015.666666666668,26228.833333333332,41200.833333333336
2021-12-01,22413.916666666668,15320.0,17715.0,20216.333333333332,26522.416666666668,41596.916666666664
2022-01-01,22651.0,15473.0,17870.0,20417.0,26816.0,41993.0
2022-02-01,22669.916666666668,15465.166666666666,17892.666666666668,20473.916666666668,26829.666666666668,42044.333333333336
2022-03-01,22688.833333333332,15457.333333333334,17915.333333333332,20530.833333333332,26843.333333333332,42095.666666666664
2022-04-01,22707.75,15449.5,17938.0,20587.75,26857.0,42147.0
2022-05-01,22726.666666666668,15441.666666666666,17960.666666666668,20644.666666666668,26870.666666666668,42198.333333333336
2022-06-01,22745.583333333332,15433.833333333334,17983.333333333332,20701.583333333332,26884.333333333332,42249.666666666664
2022-07-01,22764.5,15426.0,18006.0,20758.5,26898.0,42301.0
2022-08-01,22783.416666666668,15418.166666666666,18028.666666666668,20815.416666666668,26911.666666666668,42352.333333333336
2022-09-01,22802.333333333332,15410.333333333334,18051.333333333332,20872.333333333332,26925.333333333332,42403.666666666664
2022-10-01,22821.25,15402.5,18074.0,20929.25,26939.0,42455.0
2022-11-01,22840.166666666668,15394.666666666666,18096.666666666668,20986.166666666668,26952.666666666668,42506.333333333336
2022-12-01,22859.083333333332,15386.833333333334,18119.333333333332,21043.083333333332,26966.333333333332,42557.666666666664
2023-01-01,22878.0,15379.0,18142.0,21100.0,26980.0,42609.0
